Status_FLUXO_SAP;TipoCotação;ID_da_Cotação_do_SAP;Dt_Criação_Sol;Status_da_Cotação;Id_Solic_Ajuste;Última_Ação_em;Cód_Expedição;Região;Gestão_de_Vendas;Micro_Região;Código_do_Cliente;Material;Embalagem;Preço_Atual;Preço_Proposto;Var_Preço_Proposto;Cliente_Condição;Incoterm;Frete_Comercial;Chapa;Qtd_30d;Soma_Var_30d
Concluído;Banda;20321362;01/06/2026;Aprovada;2000281515;01/06/2026 15:30;B117;Sul;Avenida Paulista;BR4304020;101065455;1289;Vermelho - Tonelada;1027.1;1008.08;-19.02;Cai;FOB;-158.17;0.0;0.0;0.0
Concluído;Banda;20321455;01/06/2026;Aprovada;2000281615;08/06/2026 09:06;B119;Centro-Oeste;Rebouças;BR5205018;101054362;1400;Cinza - Saco;40.85;38.92;-1.93;Novo;CIF;-119.88;0.0;0.0;0.0
Concluído;Banda;20321456;01/06/2026;Aprovada;2000281616;03/06/2026 16:41;B119;Centro-Oeste;Rebouças;BR5205014;101071807;1400;Cinza - Saco;39.68;39.06;-0.61;Cresce;CIF;-26.14;0.0;0.0;0.0
Concluído;Banda;20321456;01/06/2026;Aprovada;2000281616;03/06/2026 16:41;B119;Centro-Oeste;Rebouças;BR5205014;101071807;1400;Cinza - Saco;39.68;39.06;-0.61;Cresce;CIF;-26.14;0.0;1.0;-0.61
Concluído;Banda;20321457;01/06/2026;Aprovada;2000281617;03/06/2026 08:27;B117;Sul;Avenida Paulista;BR4304022;101057808;1289;Vermelho - Tonelada;1008.04;989.08;-18.96;Cai;FOB;-139.16;0.0;0.0;0.0
Concluído;Banda;20321458;01/06/2026;Rejeitada;2000281618;03/06/2026 09:58;B103;Centro-Oeste;Rebouças;BR5004010;101081821;1164;Cinza - Saco;43.82;43.22;-0.6;Novo;FOB Dirigido;-130.58;0.0;0.0;0.0
Concluído;Banda;20321459;01/06/2026;Rejeitada;2000281619;02/06/2026 10:43;B118;Sudeste;Rebouças;BR3515061;101042898;1164;Cinza - Saco;35.95;34.97;-0.98;Novo;CIF;-120.01;0.0;0.0;0.0
Concluído;Banda;20321460;01/06/2026;Aprovada;2000281620;02/06/2026 16:01;B119;Centro-Oeste;Rebouças;BR5203010;101070834;1400;Cinza - Saco;41.77;40.76;-1.0;Churn;CIF;-36.62;0.0;0.0;0.0
Concluído;Banda;20321461;01/06/2026;Aprovada;2000281621;02/06/2026 10:02;B208;Sul;Avenida dos Estados;BR4105019;101060888;1164;Cinza - Saco;40.69;39.58;-1.11;Churn;CIF;-55.1;0.0;0.0;0.0
Concluído;Banda;20321454;01/06/2026;Aprovada;2000281614;01/06/2026 17:48;B101;Sul;Avenida Paulista;BR4109032;101083080;1073;Vermelho - Tonelada;824.07;814.05;-10.02;Cresce;FOB;-162.02;0.0;0.0;0.0
Concluído;Banda;20321454;01/06/2026;Aprovada;2000281614;01/06/2026 17:48;B101;Sul;Avenida Paulista;BR4109032;101083080;1073;Vermelho - Tonelada;824.07;814.05;-10.02;Cresce;FOB;-162.02;0.0;0.0;0.0
Concluído;Banda;20321462;01/06/2026;Aprovada;2000281622;01/06/2026 17:05;B118;Sul;Rebouças;BR4110037;101038570;1164;Cinza - Saco;36.33;38.5;2.17;Churn;CIF;-101.49;0.0;0.0;0.0
Concluído;Banda;20321462;01/06/2026;Aprovada;2000281622;01/06/2026 17:05;B118;Sul;Rebouças;BR4110037;101038570;1164;Cinza - Saco;36.33;38.5;2.17;Churn;CIF;-101.49;0.0;0.0;0.0
Concluído;Banda;20321462;01/06/2026;Aprovada;2000281622;01/06/2026 17:05;B118;Sul;Rebouças;BR4110037;101038570;1164;Cinza - Saco;36.33;38.5;2.17;Churn;CIF;-101.49;0.0;0.0;0.0
Concluído;Banda;20321464;01/06/2026;Aprovada;2000281624;01/06/2026 17:48;B208;Sul;Castelo Branco;BR4105021;101034209;1072;Cinza - Saco;40.49;36.0;-4.48;Cresce;FOB;-48.0;0.0;0.0;0.0
Concluído;Prazo;20321465;01/06/2026;Aprovada;2000281625;01/06/2026 17:54;B108;Sudeste;Rebouças;BR3110053;101060681;1063;Cinza - Saco;0.0;0.0;0.0;Novo;Sem informação do Sales Force;0.0;0.0;0.0;0.0
Concluído;Prazo;20321466;01/06/2026;Aprovada;2000281626;01/06/2026 17:54;B108;Sudeste;Rebouças;BR3110052;101064555;1063;Cinza - Saco;0.0;0.0;0.0;Novo;Sem informação do Sales Force;0.0;0.0;0.0;0.0
Concluído;Banda;20321467;01/06/2026;Aprovada;2000281627;02/06/2026 17:49;B108;Sudeste;Rebouças;BR3109046;101060490;1063;Cinza - Saco;34.71;33.129.999.999.999.900;-1.58;Churn;CIF;-53.13;0.0;0.0;0.0
Concluído;Banda;20321468;01/06/2026;Aprovada;2000281629;11/06/2026 10:09;B118;Sudeste;Rebouças;BR3515061;101052762;1164;Cinza - Saco;36.29;35.33;-0.96;Churn;CIF;-115.35;0.0;0.0;0.0
Concluído;Banda;20321469;01/06/2026;Aprovada;2000281630;11/06/2026 10:09;B118;Sudeste;Rebouças;BR3515061;101010465;1164;Cinza - Saco;36.29;35.33;-0.96;Churn;CIF;-120.2;0.0;0.0;0.0
Concluído;Banda;20321470;01/06/2026;Rejeitada;2000281631;01/06/2026 17:28;B103;Centro-Oeste;Rebouças;BR5004011;101057763;1164;Cinza - Saco;46.08;44.84;-1.24;Churn;FOB Dirigido;-176.52;0.0;0.0;0.0
Concluído;Prazo;20321463;01/06/2026;Aprovada;2000281623;01/06/2026 17:53;B108;Sudeste;Rebouças;BR3110052;101048829;1063;Cinza - Saco;0.0;0.0;0.0;Churn;Sem informação do Sales Force;0.0;0.0;0.0;0.0
Concluído;Banda;20321453;01/06/2026;Aprovada;2000281613;08/06/2026 09:06;B119;Centro-Oeste;Rebouças;BR5205018;101046914;1400;Cinza - Saco;39.59;38.92;-0.67;Cresce;CIF;-129.72;0.0;0.0;0.0
Concluído;Prazo;20321452;01/06/2026;Aprovada;2000281612;01/06/2026 17:53;B117;Sul;Rebouças;BR4305026;101081788;1296;Cinza - Saco;0.0;0.0;0.0;Churn;Sem informação do Sales Force;0.0;0.0;0.0;0.0
Concluído;Banda;20321451;01/06/2026;Aprovada;2000281611;02/06/2026 19:26;B117;Sul;Rebouças;BR4305026;101079242;1296;Cinza - Saco;46.88;43.5;-3.39;Novo;CIF;-44.28;0.0;0.0;0.0
Concluído;Banda;20321434;01/06/2026;Aprovada;2000281594;02/06/2026 19:26;B117;Sul;Rebouças;BR4305026;101058300;1296;Cinza - Saco;46.5;43.77;-2.73;Cresce;CIF;-50.03;0.0;0.0;0.0
Concluído;Banda;20321435;01/06/2026;Aprovada;2000281595;02/06/2026 19:26;B117;Sul;Rebouças;BR4305026;101018129;1296;Cinza - Saco;44.29;43.77;-0.52;Cai;CIF;-50.03;0.0;0.0;0.0
Concluído;Banda;20321436;01/06/2026;Rejeitada;2000281596;02/06/2026 14:08;B118;Sudeste;Rebouças;BR3515059;101030097;1164;Cinza - Saco;34.980.000.000.000.000;33.03;-1.95;Novo;FOB;-88.2;0.0;0.0;0.0
Concluído;Banda;20321437;01/06/2026;Rejeitada;2000281597;03/06/2026 08:40;B108;Sudeste;Rebouças;BR3110054;101080790;1063;Cinza - Saco;34.0;32.72;-1.28;Cresce;FOB;-76.8;0.0;0.0;0.0
Concluído;Banda;20321438;01/06/2026;Rejeitada;2000281598;02/06/2026 09:39;B117;Sul;Rebouças;BR4305026;101017668;1296;Cinza - Saco;42.99;42.21;-0.78;Cresce;CIF;-39.15;0.0;0.0;0.0
Concluído;Banda;20321439;01/06/2026;Aprovada;2000281599;02/06/2026 17:19;B118;Sudeste;Rebouças;BR3515058;101001400;1164;Cinza - Saco;38.370.000.000.000.000;37.68;-0.68;Cresce;FOB;-104.0;0.0;0.0;0.0
Concluído;Banda;20321440;01/06/2026;Aprovada;2000281600;09/06/2026 09:24;B117;Sul;Rebouças;BR4305026;101047233;1296;Cinza - Saco;43.9;42.99;-0.91;Cai;CIF;-39.15;0.0;0.0;0.0
Concluído;Banda;20321441;01/06/2026;Aprovada;2000281601;02/06/2026 16:54;B118;Sudeste;Rebouças;BR3515058;101076636;1164;Cinza - Saco;38.370.000.000.000.000;37.68;-0.68;Cai;FOB;-104.0;0.0;0.0;0.0
Concluído;Banda;20321442;01/06/2026;Aprovada;2000281602;02/06/2026 09:59;B117;Sul;Avenida dos Estados;BR4305026;101069368;1296;Cinza - Saco;45.56;42.74;-2.81;Cresce;CIF;-72.35;0.0;0.0;0.0
Concluído;Banda;20321443;01/06/2026;Rejeitada;2000281604;02/06/2026 16:37;B108;Sudeste;Castelo Branco;BR3507031;101002238;1073;Vermelho - Tonelada;978.62;959.36;-19.26;Cai;FOB;-168.36;0.0;0.0;0.0
Concluído;Banda;20321444;01/06/2026;Aprovada;2000281603;03/06/2026 14:47;B118;Sudeste;Rebouças;BR3515059;101074370;1164;Cinza - Saco;35.16;34.6;-0.56;Churn;FOB;-109.01;0.0;0.0;0.0
Concluído;Banda;20321444;01/06/2026;Aprovada;2000281603;03/06/2026 14:47;B118;Sudeste;Rebouças;BR3515059;101074370;1164;Cinza - Saco;35.16;34.6;-0.56;Churn;FOB;-109.01;0.0;0.0;0.0
Concluído;Banda;20321445;01/06/2026;Aprovada;2000281605;08/06/2026 09:05;B119;Centro-Oeste;Rebouças;BR5205018;101052745;1400;Cinza - Saco;39.93;38.92;-1.01;Cai;CIF;-0.17;0.0;0.0;0.0
Concluído;Banda;20321446;01/06/2026;Aprovada;2000281606;08/06/2026 09:06;B119;Centro-Oeste;Rebouças;BR5205018;101017387;1400;Cinza - Saco;39.93;38.92;-1.01;Cresce;CIF;-119.68;0.0;0.0;0.0
